,TARBELA,MANGLA,KALABAGH,CHASMA,QADIRABAD,TRIMMU,PANJNAD,RASUL,MARALA,KHANKI,BALLOKI,SIDHNAI,SULEIMANKI,ISLAM,TAUNSA
TARBELA,1.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANGLA,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0
KALABAGH,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
CHASMA,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
QADIRABAD,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIMMU,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANJNAD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASUL,0.0,0.0,0.0,0.0,0.0,0.8,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARALA,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
KHANKI,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BALLOKI,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0
SIDHNAI,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SULEIMANKI,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0
ISLAM,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TAUNSA,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
