,TARBELA,MANGLA,KALABAGH,CHASMA,QADIRABAD,TRIMMU,PANJNAD,RASUL,MARALA,KHANKI,BALLOKI,SIDHNAI,SULEIMANKI,ISLAM,TAUNSA
TARBELA,5.0,0.0,3.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANGLA,0.0,5.0,0.0,0.0,0.0,1.6,0.0,3.2,3.2,1.6,0.0,0.0,0.0,0.0,0.0
KALABAGH,0.0,0.0,4.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
CHASMA,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
QADIRABAD,0.0,0.0,0.0,0.0,5.0,3.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIMMU,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANJNAD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASUL,0.0,0.0,0.0,0.0,0.0,3.2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARALA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.2,0.0,0.0,0.0,0.0,0.0
KHANKI,0.0,0.0,0.0,0.0,4.0,1.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
BALLOKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.4000000000000004,0.0,0.0,0.0
SIDHNAI,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
SULEIMANKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.4000000000000004,0.0
ISLAM,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
TAUNSA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
